Query,Parameter,Codigestion,TS,VS,VS_TS,SCOD,CN,N_NH4,Carbs,Protein,Lipid,ISR,CoSR,WorkVol,Temp,pH,HTR,OLR,VFAs
269,2023_Quan et al.,No,156.92,148.26,94.48,85400,28.6,476.0731,58530,24040,28320,1.2,0,0.3,37,7,6.8293,7,11550
270,2023_Quan et al.,No,156.92,148.26,94.48,85400,28.6,478.3603,58530,24040,28320,1.2,0,0.3,37,7,6.842,7,10800
271,2023_Wang et al.,No,200,191.44,95.72,8050,18.28,1087.2217,41841,1898,6726.3871,9.09,0,0.2,35,4.5,11,4.5,2205.3
272,2023_Wang et al.,No,200,191.44,95.72,10060,18.28,1029.6344,41841,1898,7492.6178,9.09,0,0.2,35,5.8,11,5.8,2808.7
273,2023_Wang et al.,No,200,191.44,95.72,9500,18.28,1026.934,41841,1898,6799.8778,9.09,0,0.2,35,4.5,11,4.5,2501.2
274,2023_Wang et al.,No,200,191.44,95.72,9000,18.28,1058.6387,41841,1898,6805.8886,9.09,0,0.2,35,4.5,11,4.5,2304.5
275,2023_Wu et al.,No,212,201,94.8,19815.4247,21.6204,563,48372.238,11983,12046.7887,12.6706,0,0.4,35,6,9.6218,6,12250
276,2023_Wu et al.,No,197,180,91.4,18735.0903,23.8039,644,46795.7887,12571,11384.7222,12.6992,0,0.4,35,6,11,6,11800
277,2023_Wu et al.,No,148,144,97.2,18139.6916,22.1843,817,53670.5055,14874,12134.4075,12.4431,0,0.4,35,6,9.3137,6,15555
278,2024_Amin et al.,No,32.2,29.3,91,2927.4637,15.9,1576.3993,13236.9489,3974.673,4412.6183,50,0,0.8,37,6.6,9,6.6,5190
279,2024_Amin et al.,No,32.2,29.3,91,2114.889,15.9,1304.4712,6588.3696,2173.3013,1833.1438,50,0,0.8,37,5.8,31,5.8,7100
280,2024_Amin et al.,No,32.2,29.3,91,2089.3654,15.9,1300.4386,6722.5385,2438.1095,1927.1214,50,0,0.8,37,5.7,72,5.7,7700
281,2024_Amin et al.,No,32.2,29.3,91,2128.1513,15.9,1188.0134,6374.731,2215.5697,1778.8251,50,0,0.8,37,5.4,72,5.4,7800
282,2024_Amin et al.,No,32.2,29.3,91,3000.9539,15.9,1712.276,13160.055,3819.4169,4489.333,50,0,0.8,37,6.5,9,6.5,4800
283,2024_Amin et al.,No,32.2,29.3,91,2198.9305,15.9,1283.3474,6536.6084,2217.4661,1784.6937,50,0,0.8,37,5.4,31,5.4,7100
284,2024_Amin et al.,No,32.2,29.3,91,2035.2737,15.9,1657.9791,6406.9833,2446.7109,1746.1014,50,0,0.8,37,5,72,5,5000
285,2024_Amin et al.,No,32.2,29.3,91,2132.0058,15.9,1315.1007,6791.953,2552.9647,1864.3101,50,0,0.8,37,4.4,72,4.4,7400
286,2024_Amin et al.,No,21.8,19.8,91,594,15.9,1524.1362,12168.663,3447.2462,3512.2762,50,0,0.8,37,6.6,9,6.6,5190
287,2024_Amin et al.,No,21.8,19.8,91,594,15.9,1405.0537,12811.6831,3622.538,3553.5376,50,0,0.8,37,5.8,12,5.8,7100
288,2024_Amin et al.,No,21.8,19.8,91,594,15.9,996.958,4138.7935,1726.4789,1136.4754,50,0,0.8,37,5.7,33,5.7,7700
289,2024_Amin et al.,No,21.8,19.8,91,594,15.9,1035.9312,4090.7157,1735.1986,1126.3258,50,0,0.8,37,5.4,92,5.4,7800
290,2024_Amin et al.,No,21.8,19.8,91,594,15.9,1599.509,12275.1013,3366.5656,3541.1723,50,0,0.8,37,6.5,8,6.5,4800
291,2024_Amin et al.,No,21.8,19.8,91,594,15.9,1337.3957,12520.0194,3817.4612,3475.044,50,0,0.8,37,5.4,13,5.4,7100
292,2024_Amin et al.,No,21.8,19.8,91,594,15.9,1356.5969,4077.2602,2036.0385,1122.629,50,0,0.8,37,5,31,5,5000
293,2024_Amin et al.,No,21.8,19.8,91,594,15.9,1069.7412,4151.0726,1918.1474,1164.2493,50,0,0.8,37,4.4,96,4.4,7400
294,2024_Castro-Fernandez et al.,No,48.1,48.3,99.58,7580,17.0987,610,16215.6873,11547.1802,8009.7712,16.2069,0,1,25,6.5,20,6.5,24000
295,2024_Castro-Fernandez et al.,No,27.2,25.3,93.01,19010,21.2036,420,7688.9388,5396.83,3534.8393,18.81,0,5,35,5.5,10,5.5,9600
296,2024_Castro-Fernandez et al.,No,47.3,44.8,94.71,35820,18.412,420,17731.2904,9384.92,8543.066,18.81,0,5,35,5.5,10,5.5,15000
297,2024_Castro-Fernandez et al.,No,40.9,36.9,90.22,19540,22.6256,420,13892.29,8115.08,8203.4495,18.81,0,5,35,6,10,6,18500
298,2024_Castro-Fernandez et al.,No,49.2,47.6,96.75,38580,17.9224,420,18900.1505,9761.9,8584.3226,18.81,0,5,35,6,10,6,28600
299,2024_Castro-Fernandez et al.,No,39.2,35.1,89.54,19220,22.8482,420,12803.1769,7777.78,7042.3062,18.81,0,5,35,7,10,7,22000
300,2024_Castro-Fernandez et al.,No,61.1,57.2,93.62,38090,18.9065,420,21316.2667,12123.02,7811.6003,18.81,0,5,35,7,10,7,39000
309,2024_Gon?lves et al.,No,48.1,46.37,96.4,10632.8631,16.4189,610,14590.7794,12978.5407,8605.2767,16.1787,0,1,25,6.5,20,6.5,24000
310,2024_Gon?lves et al.,No,48.3,46.56,96.4,10253.7836,16.3897,650,16409.7656,11531.2353,7535.7816,16.4115,0,1,25,6.5,20,6.5,24400
311,2024_Gon?lves et al.,No,50.2,48.39,96.4,12899.0216,16.5495,450,17034.7424,12356.4935,7606.7988,16.7157,0,1,25,6.5,20,6.5,23700
312,2024_Gon?lves et al.,No,49.3,47.53,96.4,18066.1366,18.0067,150,14565.8501,14742.6419,9098.4104,19.8362,0,1,25,4.5,20,4.5,10700
313,2024_Gon?lves et al.,No,52.4,50.51,96.4,18333.1345,16.2421,200,15855.0038,11820.035,7336.6511,16.531,0,1,25,6.5,20,6.5,23900
320,2024_Miao et al.,No,100,75,75,50000,7.0206,300,20000,1200,8300,10,0,1.5,25,6,5,6,15267
321,2024_Miao et al.,No,100,75,75,60000,10.5979,100,20000,1200,8300,10,0,1.5,60,6,5,6,50774
322,2024_Miao et al.,No,100,75,75,98000,14.0255,1500,20000,1200,8300,10,0,1.5,60,6,5,6,7477
323,2024_Qin et al.,No,80.9,75.9,93.83,66230,35.92,819.61,4101.63,1794.36,1025,4.76,0,0.5,35,6.5,7.5042,6.5,28970
324,2024_Qin et al.,No,72.2,68.3,94.65,66790,25.82,978.04,3430.22,1217.29,1551.58,4.76,0,0.5,35,6.5,7.0259,6.5,31240
325,2024_Qin et al.,No,58.2,53.8,92.4,64490,28.7,266.16,3510.04,921.89,733.32,4.76,0,0.5,35,6.5,9.4725,6.5,26590
326,2024_Qin et al.,No,58,52.7,90.86,59590,44.74,230.25,3801.9,968.02,276.66,4.76,0,0.5,35,6.5,9.9672,6.5,30120
327,2024_Qin et al.,No,74.4,69,92.76,68780,22.73,878.76,4397.78,1105.58,356.38,4.76,0,0.5,35,6.5,9.2374,6.5,29860
328,2024_Quan et al.,No,236.42,222.79,94.24,16290.2574,21.2025,1459.1827,75950,23506.3811,19746.6797,16.67,0,0.3,37,7,12,7,4031
331,2024_Xiao et al.,No,126.6,100.04,79.02,11639,13.4684,676.3433,9318.0581,5381.0104,938.9182,7,0,50,38,9,7.6735,9,60300
338,2024_Zhao et al.,No,100,95,95,8382.1833,25.6,1260.3234,40891.2908,13000,5758.2776,14.0839,0,0.35,37,4,13,4,3000
339,2024_Zhao et al.,No,100,95,95,19618.8623,25.6,440.6032,51963.6225,20000,11752.5287,9.596,0,0.35,37,5.6,11,5.6,44600
340,2024_Zhao et al.,No,100,95,95,18812.9947,25.6,544.5328,43114.0799,30000,9139.6406,12.0387,0,0.35,37,5.2,11,5.2,41600
341,2024_Zhao et al.,No,100,95,95,16619.9129,25.6,501.8986,47928.8106,13000,7528.8553,12.6991,0,0.35,37,4.7,11,4.7,32400
342,2024_Zhao et al.,No,50,47.5,95,15724.7297,25.6,705.6109,16710.2757,20000,9663.1206,15.0528,0,0.35,25,3.4,11,3.4,3240
343,2024_Zhao et al.,No,50,47.5,95,17705.7056,25.6,736.6941,10384.0712,30000,8913.1439,16.6989,0,0.35,37,6,11,6,6230
344,2024_Zheng et al.,No,174.1,163.74,94.05,26910.3418,19.28,3100,53373.7841,17132.2158,15927.5561,17.9496,0,0.5,30,7,13.0397,7,19790
345,2024_Zheng et al.,No,174.1,163.74,94.05,24712.9801,19.28,3100,34252.7717,13392.1992,8187,19.2969,0,0.5,30,7,13.5487,7,20710
346,2024_Zheng et al.,No,174.1,163.74,94.05,28417.6446,19.28,3100,75356.6807,21786.2489,24561,17.313,0,0.5,30,7,12.7541,7,24610
347,2024_Zheng et al.,No,174.1,163.74,94.05,30113.3863,19.28,3100,84248.6811,23316.5373,40935,17.9153,0,0.5,30,7,12.8449,7,27100
352,2025_Lee et al.,No,50,35,70,2674.9948,9.08,1024,29000,6400,500,50,0,0.1,35,6.5,24,6.5,3500
353,2025_Lee et al.,No,50,35,70,2674.9948,9.08,1024,29000,6400,500,50,0,0.1,35,6.5,24,6.5,3500
354,2025_Lee et al.,No,50,35,70,3219.8551,9.08,1024,29000,6400,500,50,0,0.1,35,6.5,24,6.5,8720
355,2025_Lee et al.,No,50,35,70,1200,9.08,1800,15571.0452,11250,13100,50,0,0.1,35,6,24,6,5200
356,2025_Lee et al.,No,50,35,70,1200,4.35,1800,13431.1261,11250,13100,50,0,0.1,35,6,24,6,5200
357,2025_Lee et al.,No,50,35,70,1200,4.66,1800,13431.1261,11250,13100,50,0,0.1,35,6,24,6,5200
358,2025_Liu et al.,No,31.58,30,95,6300,21.53,4800,10820,3070,6780,33.33,0,0.3,35,9,4,9,8300
359,2025_Liu et al.,No,31.58,30,95,6300,21.53,4800,10820,3070,6780,33.33,0,0.3,35,9,5,9,13100
360,2025_Liu et al.,No,31.58,30,95,6300,21.53,5600,10820,3070,6780,33.33,0,0.3,35,9,6,9,16700
361,2025_Liu et al.,No,31.58,30,95,6300,21.53,5200,10820,3070,6780,33.33,0,0.3,35,9,7,9,12600
362,2025_Liu et al.,No,31.58,30,95,6300,21.53,4600,10820,3070,6780,33.33,0,0.3,35,9,8,9,10200
363,2025_Qin et al.,No,118.1,111.97,94.81,20464.05,22.73,32.66,76765,23029.5,17715,4.76,0,0.4,35,4.79,9.3186,4.79,29880
364,2025_Qin et al.,No,118.1,111.97,94.81,20779.75,22.73,327.54,76765,23029.5,17715,4.76,0,0.4,35,4.79,9.1213,4.79,33320
365,2025_Qin et al.,No,118.1,111.97,94.81,22516.1,22.73,464.45,76765,23029.5,17715,4.76,0,0.4,35,4.79,8.768,4.79,29990
366,2025_Qin et al.,No,118.1,111.97,94.81,17938.45,22.73,455.49,76765,23029.5,17715,4.76,0,0.4,35,4.79,8.9692,4.79,23140
367,2025_Qin et al.,No,118.1,111.97,94.81,15097.15,22.73,910.98,76765,23029.5,17715,4.76,0,0.4,35,4.79,8.6336,4.79,27670
368,2025_Qin et al.,No,118.1,111.97,94.81,10993.05,22.73,967.28,76765,23029.5,17715,4.76,0,0.4,35,4.79,8.5089,4.79,26030
369,2025_Qin et al.,No,118.1,111.97,94.81,16517.8,22.73,322.43,76765,23029.5,17715,4.76,0,0.4,35,4.79,9.3492,4.79,29460
370,2025_Qin et al.,No,118.1,111.97,94.81,20148.35,22.73,460.61,76765,23029.5,17715,4.76,0,0.4,35,4.79,9.0284,4.79,26930
371,2025_Qin et al.,No,118.1,111.97,94.81,12413.7,22.73,688.36,76765,23029.5,17715,4.76,0,0.4,35,4.79,8.0947,4.79,13520
372,2025_Qin et al.,No,118.1,111.97,94.81,11940.15,22.73,266.13,76765,23029.5,17715,4.76,0,0.4,35,4.79,9.1712,4.79,32600
373,2025_Qin et al.,No,118.1,111.97,94.81,6573.25,22.73,401.75,76765,23029.5,17715,4.76,0,0.4,35,4.79,8.4287,4.79,13100
374,2025_Qin et al.,No,118.1,111.97,94.81,22989.65,22.73,284.04,76765,23029.5,17715,4.76,0,0.4,35,4.79,8.8679,4.79,27010
375,2025_Qin et al.,No,118.1,111.97,94.81,18412,22.73,552.73,76765,23029.5,17715,4.76,0,0.4,35,4.79,8.3393,4.79,11510
376,2025_Qin et al.,No,118.1,111.97,94.81,11940.15,22.73,240.54,76765,23029.5,17715,4.76,0,0.4,35,4.79,9.1712,4.79,31720
377,2025_Qin et al.,No,118.1,111.97,94.81,10361.65,22.73,365.93,76765,23029.5,17715,4.76,0,0.4,35,4.79,9.1088,4.79,24720
378,2025_Qin et al.,No,118.1,111.97,94.81,15458.7155,22.73,127.95,76765,23029.5,17715,4.76,0,0.4,35,7,8.9929,7,2090
379,2025_Zhang et al.,No,124.02,118.63,95.63,10199.7944,24.2296,2007,61820,30580,6470,14.28,0,0.3,37,6.22,10.4169,6.22,3986.4
380,2025_Zhang et al.,No,124.02,118.63,95.63,14498.7227,20.8941,2294.988,61820,30580,6470,14.28,0,0.3,37,8.72,9.5496,8.72,10179.9
381,2025_Zhang et al.,No,124.02,118.63,95.63,14980.6753,21.2612,2746.2,61820,30580,6470,14.28,0,0.3,37,8.95,10.0113,8.95,28317.9
382,2025_Zhang et al.,No,124.02,118.63,95.63,14909.8041,21.3305,2673.1847,61820,30580,6470,14.28,0,0.3,37,9.16,9.7706,9.16,27138.5
383,2016_Zhang,No,243,201,82.7,34598.7267,14.5,2300,137700,29400,64900,52.38,0,0.3,37,4.6,6.9716,4.6,1544.2
384,2016_Zhang,No,243,201,82.7,31449.209,14.5,2300,137700,29400,64900,52.38,0,0.3,37,4.6,6.9578,4.6,4982.7
385,2016_Zhang,No,243,201,82.7,36616.5166,14.5,2300,137700,29400,64900,52.38,0,0.3,37,4.6,5.642,4.6,10923.1
386,2016_Zhang,No,243,201,82.7,38733.9842,14.5,2300,137700,29400,64900,52.38,0,0.3,37,4.6,5.5487,4.6,30000
387,2017_Li,No,21.4,20.5,95.8,2523.8732,22.48,2572.9711,5563.0469,2022.9847,1735.8198,33.33,0,1,40,5.8,16.1486,5.8,3032.1
388,2017_Li,No,21.4,20.5,95.8,2642.5941,22.48,2457.0645,5610.3757,2066.0307,1729.5338,33.33,0,1,40,5.8,16.4659,5.8,3582.6
389,2017_Li,No,21.4,20.5,95.8,2905.2165,22.48,2175.5808,5524.0055,1995.9518,1706.2058,33.33,0,1,40,5.8,16.3738,5.8,4270.9
390,2017_Li,No,21.4,20.5,95.8,3014.5911,22.48,2082.3231,5472.7815,1997.3853,1706.9821,33.33,0,1,40,5.8,16.3906,5.8,4491.6
391,2017_Li,No,17.2,17.1,93.6,2393.2729,26.3,1503.4009,11051.7143,3538.0114,4141.2404,33.33,0,1,35,5.8,8.5573,5.8,13806.4
392,2018_Bian,No,140.54,134.9,95.99,35378.7664,19.28,1331.3846,66995.364,35478,48138.3,33.33,0,1,37,6.61,7.135,6.61,15000
393,2018_Bian,No,140.54,134.9,95.99,33496.4515,19.28,1273.1656,67009.2176,35478,48138.3,33.33,0,1,37,6.61,7.2533,6.61,10844
394,2018_Bian,No,140.54,134.9,95.99,31172.9811,19.28,1367.7331,66881.2818,35478,48138.3,33.33,0,1,37,6.61,7.6454,6.61,8557.6
395,2018_Bian,No,140.54,134.9,95.99,33451.491,19.28,1273.7793,67009.2176,35478,48138.3,33.33,0,1,37,6.61,7.2487,6.61,10894
396,2018_Bian,No,140.54,134.9,95.99,32971.8344,19.28,1312.3482,67009.2176,35478,48138.3,33.33,0,1,37,6.61,7.3634,6.61,10631.6
397,2018_Bian,No,140.54,134.9,95.99,35378.7664,19.28,1331.3846,66995.364,35478,48138.3,33.33,0,1,37,6.61,7.135,6.61,15000
398,2018_Bian,No,140.54,134.9,95.99,33347.3939,19.28,1326.5999,66995.364,35478,48138.3,33.33,0,1,37,6.61,7.3206,6.61,14333
399,2018_Bian,No,140.54,134.9,95.99,33886.6335,19.28,1281.745,66653.1513,35478,48138.3,33.33,0,1,37,6.61,7.1664,6.61,13819.8
400,2018_Bian,No,140.54,134.9,95.99,33581.0892,19.28,1299.0022,67009.2176,35478,48138.3,33.33,0,1,37,6.61,7.342,6.61,11296.4
401,2018_Bian,No,140.54,134.9,95.99,33453.5137,19.28,1306.4417,66667.0049,35478,48138.3,33.33,0,1,37,6.61,7.2973,6.61,12176.8
402,2018_Bian,No,140.54,134.9,95.99,33440.2116,19.28,1297.7227,66667.0049,35478,48138.3,33.33,0,1,37,6.61,7.3278,6.61,11456.5
403,2018_Bian,No,140.54,134.9,95.99,35772.6348,19.28,1330.7495,66451.5009,35478,48138.3,33.33,0,1,37,6.61,7.0262,6.61,14860.3
404,2018_Bian,No,140.54,134.9,95.99,35716.1988,19.28,1343.1182,66995.364,35478,48138.3,33.33,0,1,37,6.61,6.9909,6.61,15500.5
405,2018_Bian,No,140.54,134.9,95.99,34180.0315,19.28,1309.6744,66566.7797,35478,48138.3,33.33,0,1,37,6.61,7.2311,6.61,12772
406,2018_Bian,No,140.54,134.9,95.99,34066.1021,19.28,1281.745,66566.7797,35478,48138.3,33.33,0,1,37,6.61,7.1463,6.61,13582
407,2018_Bian,No,140.54,134.9,95.99,34340.639,19.28,1276.605,66566.7797,35478,48138.3,33.33,0,1,37,6.61,7.1422,6.61,12664
408,2018_Bian,No,140.54,134.9,95.99,38638.5725,19.28,1332.6808,66775.9757,35478,48138.3,33.33,0,1,37,6.61,6.7827,6.61,26868
409,2018_Bian,No,140.54,134.9,95.99,38532.4291,19.28,1358.5408,66864.3398,35478,48138.3,33.33,0,1,37,6.61,6.7555,6.61,28098
421,2019_Li,No,191,185,96.86,27884.7013,17.7,1655.5,24543,10449,11421,66.67,0,0.5,37,7.79,7.5423,7.79,5000
422,2019_Li,No,172,167,97.09,34587.442,13.4,1926,24543,10449,11421,66.67,0,0.5,37,7.79,6.5432,7.79,5000
423,2019_Li,No,205,197,96.1,28465.8278,17.8,1815.1,24543,10449,11421,66.67,0,0.5,37,7.79,7.4479,7.79,5000
424,2019_Li,No,197,190,96.45,30353.1614,16.8,1811.2,24543,10449,11421,66.67,0,0.5,37,7.79,7.2893,7.79,5000
425,2019_Li,No,196,189,96.43,31892.6868,15.4,1794.9,24543,10449,11421,66.67,0,0.5,37,7.79,7.1536,7.79,5000
426,2019_Li,No,200,193,96.5,31691.3409,15.5,1860.4,24543,10449,11421,66.67,0,0.5,37,7.79,7.1146,7.79,5000
427,2019_Li,No,20.8,19.9,95.67,1179.6112,14.7,2040.8,12480,3120,3536,66.67,0,0.5,37,7.79,8.6203,7.79,916.8
428,2019_Li,No,19.2,18.4,95.83,1234.0907,12.7,2212.9,11520,2880,3264,66.67,0,0.5,37,7.79,8.0874,7.79,1009.9
429,2019_Li,No,20.9,20,95.69,1178.7563,14,2139.2,12540,3135,3553,66.67,0,0.5,37,7.79,8.6068,7.79,1345
430,2019_Li,No,24.7,23.5,95.14,2346.7504,18.1,2172,14820,3705,4199,66.67,0,0.5,37,7.79,9.0639,7.79,1335.9
431,2019_Li,No,18.7,17.9,95.72,1300.4545,9.7,2438.6,11220,2805,3179,66.67,0,0.5,37,7.79,8.1556,7.79,1363.6
446,2019_Wang,No,257,230,89.7,38047.7758,20.2412,1217.0381,49412.927,19254.9935,22512.0341,61.54,0,1.8,37,3.97,5.8367,3.97,12140.8
450,2019_Wang,No,257,230,89.7,38005.552,18.6884,2015.3062,124023.2614,32288.8749,39685.5,61.54,0,0.4,37,3.97,5.1679,3.97,16925.2
451,2019_Wang,No,60,54,90.58,32113.6426,10.9563,343.6569,17147.453,14336.6472,8785.4859,23.08,0,0.4,25,5.5,11.6284,5.5,9360
452,2019_Wang,No,60,54,90.58,26871.836,23.0419,616.1754,21932.3971,13997.817,8425.9064,23.08,0,0.4,35,4.5,7.5687,4.5,8320
453,2019_Wang,No,60,54,90.58,27699.2084,20.8142,498.9962,19771.5752,15842.1989,10648.6467,23.08,0,0.4,40,5.5,7.8291,5.5,8890
454,2019_Wang,No,83,80,96.26,31468.0352,14.3303,499.3231,31148.2684,13892.8159,8585.4932,23.08,0,0.4,25,4.5,13.3276,4.5,7870
455,2019_Wang,No,83,80,96.26,28405.8992,20.6153,603.6167,36404.1682,16384.074,11182.3334,23.08,0,0.4,35,5.5,7.1806,5.5,9250
456,2019_Wang,No,83,80,96.26,18527.4286,23.796,510.4186,34947.3687,16170.2986,9005.3311,23.08,0,0.4,40,4.5,10.9385,4.5,12850
460,2020_Ma,No,164.9,160.1,97.1,38200,10.3,1394.0897,55200,18300,21940.4753,66.67,0,0.09,35,5.2,6.4747,5.2,730.6
466,2020_Ma,No,104.5,97.5,93.3,72800,22.9,873.9506,55200,18300,12870.3681,50,0,0.09,35,5.2,4.9801,5.2,995.9
472,2020_Ma,No,164.9,160.1,97.1,38200,10.3,1395.2486,55200,18300,22320.6594,50,0,0.09,35,5.2,6.2875,5.2,2383.4
480,2021_Kong,No,135.4,112,82.7,16250,14.5,130,13313.97,4655.88,6330.15,83.5,0,0.3,37,4.6,7.8042,4.6,12650.8
481,2021_Kong,No,135.4,112,82.7,16250,14.5,130,13752.29,4809.16,6538.55,83.5,0,0.3,37,4.6,7.8178,4.6,13710
482,2021_Li,No,34.91,30,85.94,3030.0261,13.38,1738.7606,14442.267,4129.853,4287.851,54.55,0,0.4,37,5.03,21.1822,5.03,3343.1
483,2021_Li,No,33.89,30,88.52,3970.3605,34.79,1805.4558,14020.293,4009.187,4510.2739,54.55,0,0.4,37,4.51,13.3373,4.51,4528.1
484,2021_Li,No,32.36,30,92.72,3545.5457,17.64,1641.7127,13387.332,3828.188,4258.2124,54.55,0,0.4,37,4.78,15.9691,4.78,6014.1
491,2021_Zeng,No,23.61,21.8,92.32,1714.4828,18.325,1553.3929,16054.8,4485.9,3069.3,83.05,0,0.4,35,5,15.2623,5,3000
492,2021_Zeng,No,23.61,21.8,92.32,1813.6118,19.3688,1464.271,16050,4485,3068,61.54,0,0.4,35,5,15.0549,5,5996
493,2021_Zeng,No,23.61,21.8,92.32,1899.968,19.5462,1246.7299,16050,4485,3068,50,0,0.4,35,5,17.2305,5,7650
494,2021_Zeng,No,23.61,21.8,92.32,2463.8063,20.7865,1249.2863,16050,4485,3068,41.18,0,0.4,35,5,12.5723,5,8900
495,2021_Zeng,No,23.61,21.8,92.32,1815.073,19.3277,1412.496,16050,4485,3068,50,0,0.4,35,5,15.4766,5,5848.5
496,2021_Zeng,No,23.61,21.8,92.32,1824.3368,19.3217,1484.4719,16050,4485,3068,50,0,0.4,35,5,15.552,5,5633.5
497,2021_Zeng,No,23.61,21.8,92.32,1802.6107,19.4163,1568.5912,16050,4485,3068,50,0,0.4,35,5,14.9791,5,5205.6
498,2021_Zeng,No,23.61,21.8,92.32,1820.2133,19.3758,1558.9888,16050,4485,3068,50,0,0.4,35,5,15.3641,5,5469.1
499,2021_Zeng,No,23.61,21.8,92.32,1820.2133,19.3758,1500.7988,16050,4485,3068,50,0,0.4,35,5,15.5448,5,5571.4
500,2021_Zeng,No,23.61,21.8,92.32,1824.8612,19.5162,1382.4546,16050,4485,3068,50,0,0.4,35,5,14.4906,5,6931.5
501,2021_Zeng,No,23.61,21.8,92.32,1825.8519,19.5402,1327.285,16050,4485,3068,50,0,0.4,35,5,15.3387,5,7166.4
502,2021_Zeng,No,23.61,21.8,92.32,1824.8612,19.564,1381.0907,16050,4485,3068,50,0,0.4,35,5,14.409,5,6995
503,2021_Zeng,No,23.61,21.8,92.32,1824.8612,19.564,1381.0907,16050,4485,3068,50,0,0.4,35,5,14.409,5,6995
504,2021_Zeng,No,23.61,21.8,92.32,1818.1171,19.5162,1389.9132,16050,4485,3068,50,0,0.4,35,5,14.4906,5,6845.2
505,2021_Zeng,No,23.61,21.8,92.32,1818.1171,19.5162,1389.0975,16050,4485,3068,50,0,0.4,35,5,14.4906,5,6838.8
506,2021_Zeng,No,23.61,21.8,92.32,1818.1171,19.5162,1389.9132,16050,4485,3068,50,0,0.4,35,5,14.4906,5,6853
507,2021_Zeng,No,23.61,21.8,92.32,1795.6585,19.5054,1409.4518,16050,4485,3068,50,0,0.4,35,5,14.734,5,6451.2
508,2021_Zeng,No,23.61,21.8,92.32,1808.3288,19.3277,1462.4719,16050,4485,3068,50,0,0.4,35,5,15.4357,5,5938.7
509,2021_Zeng,No,23.61,21.8,92.32,1808.3288,19.3277,1462.4719,16050,4485,3068,50,0,0.4,35,5,15.4357,5,5959.3
510,2021_Zeng,No,23.61,21.8,92.32,1808.3288,19.3277,1462.4719,16050,4485,3068,50,0,0.4,35,5,15.4357,5,6005.8
511,2021_Zeng,No,23.61,21.8,92.32,1808.3288,19.3277,1462.4719,16050,4485,3068,50,0,0.4,35,5,15.4357,5,5966
512,2018_Zhang et al,No,70.36,60.51,86,16398,19.142,995.08,4339,4423,3777,20,0,5,37,10,7.6706,10,8248.68
513,2018_Zhang et al,No,70.36,60.51,86,16398,19.199,995.08,4339,4423,3777,20,0,5,37,10,7.7497,10,7653.04
514,2018_Zhang et al,No,70.36,60.51,86,16398,19.4462,995.08,4339,4423,3777,20,0,5,37,9.8,7.7859,9.8,7555.2
515,2018_Zhang et al,No,70.36,60.51,86,16398,19.2444,995.08,4339,4423,3777,20,0,5,37,9.8,7.8412,9.8,6826.24
516,2018_Zhang et al,No,70.36,60.51,86,16398,19.0842,995.08,4339,4423,3777,20,0,5,37,9.8,7.8842,9.8,5108.56
517,2018_Zhang et al,No,16.18,13.9,86,5466,16.8541,501.71,1446.3,1474.3,1259,20,0,5,37,9.86,9.2187,9.86,5420
518,2018_Zhang et al,No,16.18,13.9,86,5466,16.6907,501.71,1446.3,1474.3,1259,20,0,5,37,8.79,10.4626,8.79,5450
519,2018_Zhang et al,No,16.18,13.9,86,5466,16.5574,501.71,1446.3,1474.3,1259,20,0,5,37,8.31,10.5036,8.31,6540
523,2018_Li et al.,No,200.15,195.75,98,3146.0108,38.04,1377.2406,31434.793,14812.6772,8921.4177,18.1756,0,1,50,7.5,8,7.5,26630
524,2018_Li et al.,No,200.15,195.75,98,2970,39.42,1357.0478,30626.3492,14325.2771,9369.538,18.0897,0,1,50,7.5,8,7.5,27030
525,2018_Li et al.,No,200.15,195.75,98,1490,39.13,1402.258,29126.7211,14293.8738,9201.4222,19.2253,0,1,50,7.5,8,7.5,25490
526,2018_Li et al.,No,200.15,195.75,98,2480,39.13,1392.026,30341.893,14158.8075,9047.6865,18.0136,0,1,50,7.5,8,7.5,29550
527,2018_Li et al.,No,200.15,195.75,98,6230,39.13,1324.7021,32377.8368,16301.0592,12464.519,17.8601,0,1,50,7.5,8,7.5,28900
528,2018_Li et al.,No,200.15,195.75,98,2110,26.12,1306.2946,33284.9199,14205.0796,9519.7152,17.3215,0,1,50,7.5,8,7.5,20590
536,2025_Zheng et al.,No,75.4,65.4,87,60200,13.6,459.1131,42120,13720,7260,24.81,0,10,37,3.8,5,3.8,35320
537,2025_Zheng et al.,No,75.4,65.4,87,60200,13.6,416.2896,42120,13720,7260,24.81,0,10,37,5,4,5,50050
538,2025_Zheng et al.,No,75.4,65.4,87,60200,13.6,376.8277,42120,13720,7260,24.81,0,10,37,6,3.3,6,50050
539,2025_Zheng et al.,No,75.4,65.4,87,60200,13.6,414.9593,42120,13720,7260,24.81,0,10,37,7,3.3,7,50050
550,2024_Xue et al.,No,21.44,20.48,95.51,20960,19,51.58,1630.813,3266.952,444.368,35.48,0,0.4,38,7,30,7,5900
558,2024_Xue et al.,No,22,21.5,97.5,21000,19,53,4500,1900,1000,35.48,0,0.4,38,5.2,30,5.2,8000
601,2019_Chen et al.,No,131,125,95.3,28358.4447,26.9,233.19,68513,19519,3681.1,0,0,0.4,35,5.8,39,5.8,16197
